01;02;03;04;05;06;07;08;09;10;11;12;13;14;998;999;;;;;;;
Buffer;Oil;5WPI;5PPC;0,25WPI;0,25WPI_5SO;0,50WPI_5SO;0,75WPI_5SO;1,50WPI_5SO;2,00WPI_5SO;5,00WPI_5SO;5,00WPI_60SO;5,00PPC_5SO;5,00PPC_60SO;Empty_cuvette;Empty_beam;;;;;;;
0-10 15min4x Saxs Measurements_01_buffer.csv;0-10 15min4x Saxs Measurements_02_100oil.csv;0-10 15min4x Saxs Measurements_03_5WPIsolution.csv;0-10 15min4x Saxs Measurements_04-1_5ppc_sol.csv;0-10 15min4x Saxs Measurements_05_0,25wpi_sol.csv;0-10 15min Saxs Measurements_06-1_0,25wpi5oil.csv;0-10 15min Saxs Measurements_07-1_0,5wpi5oil.csv;0-10 15min Saxs Measurements_08-1_0,75wpi5oil.csv;0-10 15min Saxs Measurements_09-1_1,5wpi5oil.csv;0-10 15min Saxs Measurements_10-1_2wpi5oil.csv;0-10 15min Saxs Measurements_11-1_5wpi5oil.csv;0-10 15min Saxs Measurements_12-1_5wpi60oil.csv;0-10 15min Saxs Measurements_13-1_5ppc5oil.csv;0-10 15min Saxs Measurements_14-1_5ppc60oil.csv;0-10 15min4x Saxs 998_empty_cuvette.csv;0-10 15min4x Saxs 999_empty_beam.csv;;;;;;;
;;;;;0-10 15min Saxs Measurements_06-2_0,25wpi5oil.csv;0-10 15min Saxs Measurements_07-2_0,5wpi5oil.csv;0-10 15min Saxs Measurements_08-2_0,75wpi5oil.csv;0-10 15min Saxs Measurements_09-2_1,5wpi5oil.csv;0-10 15min Saxs Measurements_10-2_2wpi5oil.csv;0-10 15min Saxs Measurements_11-2_5wpi5oil.csv;0-10 15min Saxs Measurements_12-2_5wpi60oil.csv;0-10 15min Saxs Measurements_13-2_5ppc5oil.csv;0-10 15min Saxs Measurements_14-2_5ppc60oil.csv;;;;;;;;;
;;;;;0-10 15min Saxs Measurements_06-3_0,25wpi5oil.csv;0-10 15min Saxs Measurements_07-3_0,5wpi5oil.csv;0-10 15min Saxs Measurements_08-3_0,75wpi5oil.csv;0-10 15min Saxs Measurements_09-3_1,5wpi5oil.csv;0-10 15min Saxs Measurements_10-3_2wpi5oil.csv;0-10 15min Saxs Measurements_11-3_5wpi5oil.csv;0-10 15min Saxs Measurements_12-3_5wpi60oil.csv;0-10 15min Saxs Measurements_13-3_5ppc5oil.csv;0-10 15min Saxs Measurements_14-3_5ppc60oil.csv;;;;;;;;;
;;;;;0-10 15min Saxs Measurements_06-4_0,25wpi5oil.csv;0-10 15min Saxs Measurements_07-4_0,5wpi5oil.csv;0-10 15min Saxs Measurements_08-4_0,75wpi5oil.csv;0-10 15min Saxs Measurements_09-4_1,5wpi5oil.csv;0-10 15min Saxs Measurements_10-4_2wpi5oil.csv;0-10 15min Saxs Measurements_11-4_5wpi5oil.csv;0-10 15min Saxs Measurements_12-4_5wpi60oil.csv;0-10 15min Saxs Measurements_13-4_5ppc5oil.csv;0-10 15min Saxs Measurements_14-4_5ppc60oil.csv;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
998;999;000;001;002;010;011;100;101;102;200;201;202;300;301;302;400;401;402;500;501;502;503
Empty_Cuvette;Empty_Beam;Buffer;Oil;n-decane;5,0%WPI;0,25%WPI;5,0%WPI_5%oil;5,0%WPI_5%oil_washed;5,0%WPI_5%oil_leftover;0,25%WPI_5%oil;0,25%WPI_5%oil_washed;0,25%WPI_5%oil_leftover;5,0%WPI_5%decane;5,0%WPI_5%decane_washed;5,0%WPI_5%decane_leftover;0,25%WPI_5%decane;0,25%WPI_5%decane_washed;0,25%WPI_5%decane_leftover;5,0%WPI_5%oil_washed_D2O;0,25%WPI_5%oil_washed_D2O;5,0%WPI_5%decane_washed_D2O;0,25%WPI_5%decane_washed_D2O
0-10 15min4x Saxs 998_empty_cuvette.csv;0-10 15min4x Saxs 999_empty_beam.csv;0-10 15min4x Saxs Measurements_000_buffer.csv;0-10 15min4x Saxs Measurements_001_oil.csv;0-10 15min4x Saxs Measurements_002_decane.csv;0-10 15min4x Saxs Measurements_010_5wpi_sol.csv;0-10 15min4x Saxs Measurements_011_0,25wpi_sol.csv;0-10 15min Saxs Measurements_100-1_5wpi5oil_normal.csv;0-10 15min Saxs Measurements_101-1_5wpi5oil_wash.csv;0-10 15min4x Saxs Measurements_102_5wpi5oil_leftover.csv;0-10 15min Saxs Measurements_200-1_0,25wpi5oil_normal.csv;0-10 15min Saxs Measurements_201-1_0,25wpi5oil_wash.csv;0-10 15min4x Saxs Measurements_202_0,25wpi5oil_leftover.csv;0-10 15min Saxs Measurements_300-1_5wpi5decane_normal.csv;0-10 15min Saxs Measurements_301-1_5wpi5decane_wash.csv;0-10 15min4x Saxs Measurements_302_5wpi5decane_leftover.csv;0-10 15min Saxs Measurements_400-1_0,25wpi5decane_normal.csv;0-10 15min Saxs Measurements_401-1_0,25wpi5decane_wash.csv;0-10 15min4x Saxs Measurements_402-1_0,25wpi5decane_leftover.csv;0-10 15min Saxs Measurements_500-1_5wpi5oil_D2O.csv;0-10 15min Saxs Measurements_501-1_0,25wpi5oil_D2O.csv;0-10 15min Saxs Measurements_502-1_5wpi5decane_D2O.csv;0-10 15min Saxs Measurements_503-1_0,25wpi5decane_D2O.csv
;;;;;;;0-10 15min Saxs Measurements_100-2_5wpi5oil_normal.csv;0-10 15min Saxs Measurements_101-2_5wpi5oil_wash.csv;;0-10 15min Saxs Measurements_200-2_0,25wpi5oil_normal.csv;0-10 15min Saxs Measurements_201-2_0,25wpi5oil_wash.csv;;0-10 15min Saxs Measurements_300-2_5wpi5decane_normal.csv;0-10 15min Saxs Measurements_301-2_5wpi5decane_wash.csv;;0-10 15min Saxs Measurements_400-2_0,25wpi5decane_normal.csv;0-10 15min Saxs Measurements_401-2_0,25wpi5decane_wash.csv;;0-10 15min Saxs Measurements_500-2_5wpi5oil_D2O.csv;0-10 15min Saxs Measurements_501-2_0,25wpi5oil_D2O.csv;0-10 15min Saxs Measurements_502-2_5wpi5decane_D2O.csv;0-10 15min Saxs Measurements_503-2_0,25wpi5decane_D2O.csv
;;;;;;;0-10 15min Saxs Measurements_100-3_5wpi5oil_normal.csv;0-10 15min Saxs Measurements_101-3_5wpi5oil_wash.csv;;0-10 15min Saxs Measurements_200-3_0,25wpi5oil_normal.csv;0-10 15min Saxs Measurements_201-3_0,25wpi5oil_wash.csv;;0-10 15min Saxs Measurements_300-3_5wpi5decane_normal.csv;0-10 15min Saxs Measurements_301-3_5wpi5decane_wash.csv;;0-10 15min Saxs Measurements_400-3_0,25wpi5decane_normal.csv;0-10 15min Saxs Measurements_401-3_0,25wpi5decane_wash.csv;;0-10 15min Saxs Measurements_500-3_5wpi5oil_D2O.csv;0-10 15min Saxs Measurements_501-3_0,25wpi5oil_D2O.csv;0-10 15min Saxs Measurements_502-3_5wpi5decane_D2O.csv;0-10 15min Saxs Measurements_503-3_0,25wpi5decane_D2O.csv
;;;;;;;0-10 15min Saxs Measurements_100-4_5wpi5oil_normal.csv;0-10 15min Saxs Measurements_101-4_5wpi5oil_wash.csv;;0-10 15min Saxs Measurements_200-4_0,25wpi5oil_normal.csv;0-10 15min Saxs Measurements_201-4_0,25wpi5oil_wash.csv;;0-10 15min Saxs Measurements_300-4_5wpi5decane_normal.csv;0-10 15min Saxs Measurements_301-4_5wpi5decane_wash.csv;;0-10 15min Saxs Measurements_400-4_0,25wpi5decane_normal.csv;0-10 15min Saxs Measurements_401-4_0,25wpi5decane_wash.csv;;0-10 15min Saxs Measurements_500-4_5wpi5oil_D2O.csv;0-10 15min Saxs Measurements_501-4_0,25wpi5oil_D2O.csv;0-10 15min Saxs Measurements_502-4_5wpi5decane_D2O.csv;0-10 15min Saxs Measurements_503-4_0,25wpi5decane_D2O.csv
